apl,LSDP|2016_LRS,LSDP|2019_EP,LSDP|2020_LRS,LSDP|2024_EP,LSDP|2024_LRS,LSDP|summary,TS-LKD|2016_LRS,TS-LKD|2019_EP,TS-LKD|2020_LRS,TS-LKD|2024_EP,TS-LKD|2024_LRS,TS-LKD|summary,LVŽS|2016_LRS,LVŽS|2019_EP,LVŽS|2020_LRS,LVŽS|2024_EP,LVŽS|2024_LRS,LVŽS|summary,LRP|2016_LRS,LRP|2019_EP,LRP|2020_LRS,LRP|2024_EP,LRP|2024_LRS,LRP|summary,LS|2016_LRS,LS|2019_EP,LS|2020_LRS,LS|2024_EP,LS|2024_LRS,LS|summary,DSVL|2016_LRS,DSVL|2019_EP,DSVL|2020_LRS,DSVL|2024_EP,DSVL|2024_LRS,DSVL|summary,LP|2016_LRS,LP|2019_EP,LP|2020_LRS,LP|2024_EP,LP|2024_LRS,LP|summary,LT|2016_LRS,LT|2019_EP,LT|2020_LRS,LT|2024_EP,LT|2024_LRS,LT|summary,LLRA-KŠS|2016_LRS,LLRA-KŠS|2019_EP,LLRA-KŠS|2020_LRS,LLRA-KŠS|2024_EP,LLRA-KŠS|2024_LRS,LLRA-KŠS|summary,DP|2016_LRS,DP|2019_EP,DP|2020_LRS,DP|2024_EP,DP|2024_LRS,DP|summary,TTS|2016_LRS,TTS|2019_EP,TTS|2020_LRS,TTS|2024_EP,TTS|2024_LRS,TTS|summary,NS|2016_LRS,NS|2019_EP,NS|2020_LRS,NS|2024_EP,NS|2024_LRS,NS|summary,LŽP|2016_LRS,LŽP|2019_EP,LŽP|2020_LRS,LŽP|2024_EP,LŽP|2024_LRS,LŽP|summary,LLP|2016_LRS,LLP|2019_EP,LLP|2020_LRS,LLP|2024_EP,LLP|2024_LRS,LLP|summary,TK|2016_LRS,TK|2019_EP,TK|2020_LRS,TK|2024_EP,TK|2024_LRS,TK|summary,NA|2016_LRS,NA|2019_EP,NA|2020_LRS,NA|2024_EP,NA|2024_LRS,NA|summary,TURNOUT|2016_LRS,TURNOUT|2019_EP,TURNOUT|2020_LRS,TURNOUT|2024_EP,TURNOUT|2024_LRS,TURNOUT|summary,VOTERS|2016_LRS,VOTERS|2019_EP,VOTERS|2020_LRS,VOTERS|2024_EP,VOTERS|2024_LRS,VOTERS|summary,lrecon|2016_LRS,lrecon|2019_EP,lrecon|2020_LRS,lrecon|2024_EP,lrecon|2024_LRS,lrecon|summary,galtan|2016_LRS,galtan|2019_EP,galtan|2020_LRS,galtan|2024_EP,galtan|2024_LRS,galtan|summary
56:18:pabarės,0.56,1.56,0.26,0.95,4.5,2.01,0.69,0.52,1.02,0.0,1.5,0.78,0.95,0.69,1.53,0.95,0.3,0.8,,0.22,0.77,0.95,0.0,0.47,0.29,0.04,0.26,0.32,0.0,0.17,,,,0.32,0.9,0.63,,,0.51,0.95,0.9,0.83,2.57,1.37,0.26,0.95,0.0,0.74,90.1,81.72,85.42,90.82,84.98,86.69,2.11,3.85,7.93,2.22,0.9,2.97,0.34,0.67,0.0,0.63,0.6,0.5,,0.43,0.51,0.0,0.0,0.16,0.21,0.24,0.26,0.32,0.0,0.19,1.32,,0.0,,2.7,1.7,,,,0.32,0.9,0.63,,,,,2.7,2.7,71.64,73.57,64.77,59.46,62.41,64.43,691.72,640.22,616.0,560.0,556.0,591.57,-0.27,-0.84,-0.77,-0.78,-0.78,-0.74,0.28,1.3,1.23,1.31,1.27,1.19
53:8:trūdų,16.32,17.49,8.79,20.0,23.62,18.64,12.18,12.9,12.45,13.33,6.64,10.41,24.48,15.95,20.15,13.33,5.17,12.92,,3.09,2.56,8.15,0.74,3.0,6.03,3.5,1.83,1.48,1.85,2.45,,,,6.67,4.06,4.9,,,6.59,2.22,2.58,3.45,17.44,8.22,25.27,14.07,32.84,22.78,4.94,4.98,2.93,6.67,0.37,3.14,7.17,11.38,10.26,3.7,0.37,5.1,5.91,4.9,1.1,3.7,1.48,2.78,,2.25,1.47,3.7,2.58,2.53,3.0,3.57,3.66,0.74,1.48,2.21,1.28,,0.0,,2.95,1.9,,,,0.74,0.37,0.49,,,,,13.28,13.28,54.93,52.26,48.54,26.31,52.43,47.19,1113.79,1022.0,581.0,536.0,534.0,675.22,-0.07,-0.43,-0.24,-0.54,-0.24,-0.31,-0.25,0.17,-0.11,0.5,0.62,0.31
70:8:grūto,36.38,16.06,7.14,31.25,20.61,20.65,16.83,13.16,26.79,18.75,15.27,17.75,19.61,15.33,26.79,10.94,6.87,13.59,,4.38,7.14,9.38,6.87,6.98,11.27,5.11,3.57,1.56,3.82,4.15,,,,7.81,21.37,16.99,,,8.04,4.69,1.53,3.85,4.67,2.2,1.79,0.0,0.0,1.05,2.79,0.73,0.0,0.0,0.0,0.34,3.76,10.22,7.14,0.0,0.0,3.27,1.88,5.83,3.57,0.0,1.53,2.35,,8.01,3.57,4.69,5.34,5.35,0.94,1.46,3.57,4.69,0.76,2.12,0.93,,0.89,,0.76,0.82,,,,0.0,0.0,0.0,,,,,15.27,15.27,44.56,60.39,51.06,28.15,55.65,49.64,257.88,244.88,235.0,238.0,239.0,240.55,-0.06,-0.47,-0.56,-0.76,-0.69,-0.6,-0.33,0.22,0.15,0.1,0.61,0.3
70:9:švendubrės,17.07,19.02,9.17,23.17,18.8,18.27,28.36,17.71,21.1,7.32,15.38,15.76,19.04,21.48,33.03,10.98,6.84,14.96,,2.59,3.67,6.1,5.13,4.78,5.81,3.45,4.59,2.44,2.56,3.26,,,,10.98,26.5,20.32,,,5.5,7.32,1.71,4.25,10.06,1.79,0.92,1.22,0.85,1.92,0.03,0.0,0.0,0.0,0.85,0.32,6.55,12.98,14.68,1.22,1.71,5.53,4.38,2.82,1.83,10.98,1.71,4.41,,0.08,1.83,9.76,3.42,4.39,5.09,2.62,1.83,1.22,0.85,1.71,1.47,,0.0,,2.56,1.76,,,,4.88,1.71,2.97,,,,,11.11,11.11,50.38,46.64,42.69,36.29,51.68,45.69,288.55,271.15,260.0,237.0,238.0,250.15,0.07,-0.43,-0.65,-0.74,-0.72,-0.6,-0.13,0.07,0.19,0.27,0.63,0.33
60:7:saulutės,28.83,26.5,16.9,40.06,41.78,33.56,19.64,15.48,17.68,15.79,10.65,14.41,19.55,13.19,22.38,7.89,5.12,11.23,,3.81,7.98,5.56,2.56,4.34,9.03,6.3,5.01,2.92,4.04,4.9,,,,6.14,7.01,6.75,,,5.16,3.8,2.83,3.57,4.85,3.46,0.94,0.0,0.94,1.61,0.97,1.21,1.25,0.88,0.94,1.03,4.94,10.69,14.08,2.92,3.23,6.36,6.03,4.05,1.72,4.68,1.21,2.86,,2.18,1.1,2.05,1.08,1.47,2.21,1.5,1.88,2.05,0.4,1.29,1.58,,0.16,,2.56,1.82,,,,4.09,3.23,3.49,,,,,15.63,15.63,48.41,49.27,37.58,21.05,46.0,41.17,2046.84,1962.33,1767.0,1658.0,1637.0,1758.59,-0.03,-0.48,-0.71,-0.86,-0.71,-0.63,-0.25,-0.05,-0.0,-0.13,0.28,0.05
70:11:neravų,24.98,21.56,9.53,25.65,20.25,20.03,18.92,17.67,27.33,24.54,16.31,20.16,28.0,15.86,27.54,9.29,6.99,14.42,,3.22,4.45,4.83,1.61,3.07,8.27,4.04,2.33,2.97,3.05,3.58,,,,13.38,26.52,22.43,,,7.2,2.97,1.61,3.23,5.0,3.21,2.54,0.74,0.54,1.78,0.57,0.44,0.42,0.74,0.0,0.33,3.31,7.24,7.63,0.74,0.9,3.25,4.81,8.14,1.69,5.95,0.72,3.36,,1.88,2.12,0.74,1.97,1.74,3.51,3.03,1.48,2.6,1.97,2.31,0.22,,0.21,,1.61,1.04,,,,2.97,0.9,1.54,,,,,15.95,15.95,56.3,54.62,48.82,26.67,55.63,49.19,1039.08,1042.04,1014.0,1035.0,1039.0,1034.42,-0.03,-0.54,-0.65,-0.7,-0.71,-0.6,-0.23,0.06,0.13,0.09,0.59,0.26
70:12:leipalingio,20.82,16.55,12.22,25.74,23.64,20.82,17.23,15.18,21.77,15.61,11.26,15.06,25.53,15.96,24.16,8.86,5.82,12.93,,4.12,3.65,6.33,2.85,4.01,4.1,2.64,3.09,3.59,2.72,3.08,,,,9.92,23.89,18.97,,,6.74,3.16,3.34,4.03,12.75,5.62,2.39,1.05,0.37,2.86,0.34,0.46,0.0,0.84,0.0,0.28,8.53,12.61,14.04,1.48,1.73,6.05,4.78,6.2,2.67,10.76,0.87,4.41,,3.22,2.95,3.8,2.1,2.83,2.51,3.21,1.69,4.01,0.99,2.22,1.14,,0.0,,1.73,1.2,,,,3.16,1.73,2.23,,,,,18.69,18.69,50.2,51.73,42.4,28.33,49.07,44.24,1847.18,1796.09,1776.0,1719.0,1714.0,1750.86,-0.05,-0.47,-0.67,-0.74,-0.74,-0.62,-0.12,0.21,0.07,0.07,0.54,0.25
70:13:lipliūnų,27.92,15.05,14.58,28.4,14.94,19.7,24.61,26.77,28.13,20.99,26.44,25.12,20.3,15.05,26.04,3.7,4.6,10.9,,2.03,5.21,4.94,2.3,3.61,3.4,2.03,1.04,2.47,3.45,2.55,,,,13.58,18.39,16.15,,,3.13,1.23,1.15,1.63,4.65,3.05,0.0,0.0,1.15,1.2,1.1,0.01,1.04,0.0,0.0,0.27,6.79,12.01,13.54,1.23,3.45,6.11,4.49,8.93,2.08,8.64,0.0,4.43,,2.02,1.04,8.64,4.6,4.74,4.44,3.0,1.04,1.23,0.0,1.33,2.23,,1.04,,6.9,4.46,,,,4.94,3.45,4.14,,,,,12.64,12.64,51.1,57.29,53.97,45.6,49.46,50.45,217.59,216.3,189.0,182.0,184.0,191.79,-0.04,-0.32,-0.85,-0.74,-0.49,-0.56,-0.16,0.23,0.18,0.12,0.69,0.3
70:10:viečiūnų,30.37,22.96,11.56,20.63,22.85,21.28,16.39,14.41,20.03,16.78,9.64,14.07,23.84,17.05,28.01,10.14,5.79,14.06,,2.13,2.61,9.09,2.52,3.64,6.75,3.68,4.56,2.1,5.19,4.5,,,,12.24,21.81,19.07,,,9.93,5.24,4.3,5.85,6.01,3.95,2.12,0.35,0.0,1.68,0.29,0.56,0.49,0.35,0.45,0.44,3.66,8.05,10.91,3.15,0.89,4.46,4.52,7.47,2.12,7.69,1.19,3.75,,2.28,1.3,4.9,2.37,2.59,3.94,3.1,1.79,2.8,2.08,2.5,0.44,,0.33,,3.26,2.07,,,,3.85,0.89,1.74,,,,,17.66,17.66,47.76,48.04,41.4,19.93,46.85,41.86,1544.62,1557.11,1558.0,1505.0,1494.0,1522.4,-0.07,-0.6,-0.58,-0.68,-0.67,-0.58,-0.27,0.06,0.01,0.17,0.49,0.21
70:14:ricielių,24.99,24.47,10.86,29.35,26.24,23.99,20.85,20.2,24.34,15.92,15.47,18.3,23.64,14.54,24.01,5.47,6.63,12.2,,2.57,6.91,8.46,3.87,5.14,5.41,4.45,2.96,3.98,4.7,4.32,,,,8.96,21.82,17.49,,,7.89,2.99,0.83,2.92,9.24,2.8,1.97,1.49,0.0,2.01,0.46,0.73,0.33,0.0,0.0,0.22,4.83,8.51,8.55,1.99,1.1,4.07,4.67,4.97,1.97,9.95,1.38,4.06,,1.87,1.97,2.49,0.83,1.58,2.83,4.09,2.3,5.97,1.93,3.22,0.59,,0.0,,3.04,1.9,,,,1.49,1.1,1.23,,,,,12.15,12.15,49.02,51.38,37.85,24.57,45.65,41.67,1168.12,1120.95,856.0,818.0,817.0,910.2,-0.03,-0.48,-0.63,-0.74,-0.71,-0.59,-0.18,-0.02,0.06,-0.12,0.47,0.15
